AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Pauling Electronegativity,Allen Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,NumberOfIsotopes,SpecificHeat,NumberofShells
1,Hydrogen,H,1.007,0,1,1,1,1,gas,no,yes,no,yes,no,Nonmetal,0.79,2.2,2.3,13.5984,8.99E-05,14.175,20.28,3,14.304,1
2,Helium,He,4.002,2,2,2,1,18,gas,no,yes,no,yes,no,Noble Gas,0.49,,4.16,24.5874,1.79E-04,0.95,4.22,5,5.193,1
3,Lithium,Li,6.941,4,3,3,2,1,solid,no,yes,yes,no,no,Alkali Metal,2.1,0.98,0.912,5.3917,5.34E-01,453.85,1615,5,3.582,2
4,Beryllium,Be,9.012,5,4,4,2,2,solid,no,yes,yes,no,no,Alkaline Earth Metal,1.4,1.57,1.576,9.3227,1.85E+00,1560.15,2742,6,1.825,2
5,Boron,B,10.811,6,5,5,2,13,solid,no,yes,no,no,yes,Metalloid,1.2,2.04,2.051,8.298,2.34E+00,2573.15,4200,6,1.026,2
6,Carbon,C,12.011,6,6,6,2,14,solid,no,yes,no,yes,no,Nonmetal,0.91,2.55,2.544,11.2603,2.27E+00,3948.15,4300,7,0.709,2
7,Nitrogen,N,14.007,7,7,7,2,15,gas,no,yes,no,yes,no,Nonmetal,0.75,3.04,3.066,14.5341,1.25E-03,63.29,77.36,8,1.04,2
8,Oxygen,O,15.999,8,8,8,2,16,gas,no,yes,no,yes,no,Nonmetal,0.65,3.44,3.61,13.6181,1.43E-03,50.5,90.2,8,0.918,2
9,Fluorine,F,18.998,10,9,9,2,17,gas,no,yes,no,yes,no,Halogen,0.57,3.98,4.193,17.4228,1.70E-03,53.63,85.03,6,0.824,2
10,Neon,Ne,20.18,10,10,10,2,18,gas,no,yes,no,yes,no,Noble Gas,0.51,,4.787,21.5645,9.00E-04,24.703,27.07,8,1.03,2
11,Sodium,Na,22.99,12,11,11,3,1,solid,no,yes,yes,no,no,Alkali Metal,2.2,0.93,0.869,5.1391,9.71E-01,371.15,1156,7,1.228,3
12,Magnesium,Mg,24.305,12,12,12,3,2,solid,no,yes,yes,no,no,Alkaline Earth Metal,1.7,1.31,1.293,7.6462,1.74E+00,923.15,1363,8,1.023,3
13,Aluminum,Al,26.982,14,13,13,3,13,solid,no,yes,yes,no,no,Metal,1.8,1.61,1.613,5.9858,2.70E+00,933.4,2792,8,0.897,3
14,Silicon,Si,28.086,14,14,14,3,14,solid,no,yes,no,no,yes,Metalloid,1.5,1.9,1.916,8.1517,2.33E+00,1683.15,3538,8,0.705,3
15,Phosphorus,P,30.974,16,15,15,3,15,solid,no,yes,no,yes,no,Nonmetal,1.2,2.19,2.253,10.4867,1.82E+00,317.25,553,7,0.769,3
